date;hour;value
01/01/2022;9;16
01/01/2022;10;59
01/01/2022;11;110
01/01/2022;12;128
01/01/2022;13;129
01/01/2022;14;116
01/01/2022;15;128
01/01/2022;16;100
01/01/2022;17;97
01/01/2022;18;219
01/01/2022;19;414
01/01/2022;20;298
01/01/2022;21;279
01/01/2022;22;153
01/01/2022;23;115
01/01/2022;24;31
02/01/2022;9;36
02/01/2022;10;146
02/01/2022;11;216
02/01/2022;12;264
02/01/2022;13;231
02/01/2022;14;185
02/01/2022;15;214
02/01/2022;16;206
02/01/2022;17;189
02/01/2022;18;213
02/01/2022;19;174
02/01/2022;20;182
02/01/2022;21;111
02/01/2022;22;72
02/01/2022;23;38
02/01/2022;24;12
03/01/2022;9;178
03/01/2022;10;666
03/01/2022;11;900
03/01/2022;12;988
03/01/2022;13;883
03/01/2022;14;668
03/01/2022;15;758
03/01/2022;16;821
03/01/2022;17;729
03/01/2022;18;783
03/01/2022;19;677
03/01/2022;20;547
03/01/2022;21;327
03/01/2022;22;146
03/01/2022;23;79
03/01/2022;24;37
04/01/2022;9;166
04/01/2022;10;531
04/01/2022;11;807
04/01/2022;12;820
04/01/2022;13;928
04/01/2022;14;648
04/01/2022;15;602
04/01/2022;16;680
04/01/2022;17;732
04/01/2022;18;742
04/01/2022;19;674
04/01/2022;20;426
04/01/2022;21;304
04/01/2022;22;145
04/01/2022;23;89
04/01/2022;24;21
05/01/2022;9;173
05/01/2022;10;583
05/01/2022;11;981
05/01/2022;12;758
05/01/2022;13;743
05/01/2022;14;613
05/01/2022;15;625
05/01/2022;16;562
05/01/2022;17;639
05/01/2022;18;592
05/01/2022;19;591
05/01/2022;20;433
05/01/2022;21;264
05/01/2022;22;129
05/01/2022;23;88
05/01/2022;24;20
06/01/2022;9;104
06/01/2022;10;287
06/01/2022;11;412
06/01/2022;12;434
06/01/2022;13;383
06/01/2022;14;312
06/01/2022;15;311
06/01/2022;16;328
06/01/2022;17;354
06/01/2022;18;281
06/01/2022;19;318
06/01/2022;20;248
06/01/2022;21;196
06/01/2022;22;144
06/01/2022;23;57
06/01/2022;24;17
07/01/2022;9;125
07/01/2022;10;575
07/01/2022;11;904
07/01/2022;12;1.062
07/01/2022;13;997
07/01/2022;14;665
07/01/2022;15;830
07/01/2022;16;733
07/01/2022;17;752
07/01/2022;18;710
07/01/2022;19;596
07/01/2022;20;411
07/01/2022;21;249
07/01/2022;22;116
07/01/2022;23;93
07/01/2022;24;20
08/01/2022;9;94
08/01/2022;10;265
08/01/2022;11;395
08/01/2022;12;402
08/01/2022;13;346
08/01/2022;14;275
08/01/2022;15;251
08/01/2022;16;258
08/01/2022;17;255
08/01/2022;18;301
08/01/2022;19;227
08/01/2022;20;146
08/01/2022;21;81
08/01/2022;22;59
08/01/2022;23;37
08/01/2022;24;9
09/01/2022;9;14
09/01/2022;10;67
09/01/2022;11;115
09/01/2022;12;150
09/01/2022;13;97
09/01/2022;14;75
09/01/2022;15;94
09/01/2022;16;97
09/01/2022;17;100
09/01/2022;18;121
09/01/2022;19;114
09/01/2022;20;107
09/01/2022;21;71
09/01/2022;22;51
09/01/2022;23;34
09/01/2022;24;3
10/01/2022;9;307
10/01/2022;10;998
10/01/2022;11;1.170
